""
"ExternalSignal_n20_nr10_na10",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215,-144.284966808215
"ExternalSignal_n20_nr1_na1",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.05939554042193,-4.0606929214925,-4.0606929214925,-7.88962742445188,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215,-144.284966808215
"ExternalSignal_n20_nr5_na5",-0.0845944242108675,-0.0845944242108675,-0.128256073351197,-3.56718711106298,-3.56718711106298,-4.01488447975609,-4.01821569275137,-4.01821569275137,-4.06026046106169,-4.06026046106169,-4.0606929214925,-9.17837061432222,-9.24280777106105,-9.30724492779988,-35.1594502405646,-35.2261568129239,-35.2261568129239,-140.886848361897,-144.284966808215,-144.284966808215
"FullyConnected_n20_nr10_na10",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215
"FullyRepressed20Genes_n20_nr20_na20",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-52.5357761663796,-144.284966808215,-144.284966808215
"OscillatingNetworks_0123Clock_n20_nr10_na10",0.264698724114925,-0.0908318026594861,-0.128256073351197,-3.55124211821124,-3.55124211821124,-3.56718711106298,-4.01536036732684,-4.01821569275137,-4.06032224112324,-4.0606929214925,-4.0606929214925,-7.50300447300016,-9.28883430844057,-9.30724492779988,-35.1689797509016,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215,-144.284966808215
"OscillatingNetworks_0123Clock_n20_nr15_na15",-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215,-144.284966808215
"OscillatingNetworks_0123Clock_n20_nr1_na1",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-34.6257977301312,-35.2261568129239,-140.886848797706,-144.284966808215,-144.284966808215
"OscillatingNetworks_0123Clock_n20_nr5_na5",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-8.72731048409416,-9.30724492779988,-28.8223268246047,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215,-144.284966808215
"SparseConnection_n20_nr1_na1",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-9.17837057024721,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-140.037318205557,-144.284966808215,-144.284966808215
"mediumConnection_n20_nr5_na5",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.56718711106298,-3.56718711106298,-3.56718711106298,-3.95825386567187,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215
"n20MasterRegulator",-0.128256073351197,-0.128256073351197,-0.128256073351197,-3.51137964562497,-3.56718711106298,-3.56718711106298,-4.01821569275137,-4.01821569275137,-4.01821569275137,-4.0606929214925,-4.0606929214925,-9.30724492779988,-9.30724492779988,-9.30724492779988,-35.2261568129239,-35.2261568129239,-35.2261568129239,-144.284966808215,-144.284966808215,-144.284966808215
